,Country Code,Year,TotalXpd,Country Name,Region,PCAPXpd,IncomeGroup,Mortality
149,SGP,2003,3.62564229,Singapore,East Asia & Pacific,826.63,High income,3.2
150,SLB,2003,6.00398587,Solomon Islands,East Asia & Pacific,44.76,Lower middle income,29.0
151,SLE,2003,11.69246204,Sierra Leone,Sub-Saharan Africa,34.5,Low income,216.4
152,SLV,2003,7.60620874,El Salvador,Latin America & Caribbean,193.95,Lower middle income,27.5
153,SMR,2003,4.25442586,San Marino,Europe & Central Asia,2474.99,High income,4.6
154,SRB,2003,8.12851142,Serbia,Europe & Central Asia,230.83,Upper middle income,10.6
155,STP,2003,11.1180666,Sao Tome and Principe,Sub-Saharan Africa,74.33,Lower middle income,69.7
156,SUR,2003,6.62355609,Suriname,Latin America & Caribbean,172.64,Upper middle income,30.2
157,SVK,2003,5.81850192,Slovak Republic,Europe & Central Asia,360.23,High income,8.8
158,SVN,2003,8.76732486,Slovenia,Europe & Central Asia,1281.13,High income,4.7
159,SWE,2003,9.31003467,Sweden,Europe & Central Asia,3277.4,High income,3.9
160,SWZ,2003,5.70622138,Swaziland,Sub-Saharan Africa,97.24,Lower middle income,125.7
161,SYC,2003,4.64427154,Seychelles,Sub-Saharan Africa,382.15,High income,14.0
162,SYR,2003,5.11607166,Syrian Arab Republic,Middle East & North Africa,61.07,Lower middle income,20.7
163,TCD,2003,5.49054134,Chad,Sub-Saharan Africa,16.06,Low income,175.4
164,TGO,2003,4.99880284,Togo,Sub-Saharan Africa,15.82,Low income,109.9
165,THA,2003,3.58195154,Thailand,East Asia & Pacific,78.83,Upper middle income,20.1
166,TJK,2003,4.46175837,Tajikistan,Europe & Central Asia,10.63,Lower middle income,74.1
167,TKM,2003,3.85321101,Turkmenistan,Europe & Central Asia,94.71,Upper middle income,76.7
168,TLS,2003,2.48303393,Timor-Leste,East Asia & Pacific,13.38,Lower middle income,92.3
169,TON,2003,5.08974932,Tonga,East Asia & Pacific,106.14,Upper middle income,16.7
170,TTO,2003,5.12558072,Trinidad and Tobago,Latin America & Caribbean,448.51,High income,26.6
171,TUN,2003,5.35778086,Tunisia,Middle East & North Africa,147.99,Lower middle income,26.0
172,TUR,2003,5.33861757,Turkey,Europe & Central Asia,243.47,Upper middle income,31.7
173,TUV,2003,21.88030831,Tuvalu,East Asia & Pacific,414.32,Upper middle income,38.2
174,TZA,2003,4.05540452,Tanzania,Sub-Saharan Africa,16.39,Low income,106.8
175,UGA,2003,7.536471499999999,Uganda,Sub-Saharan Africa,22.17,Low income,142.5
176,UKR,2003,6.93362184,Ukraine,Europe & Central Asia,73.19,Lower middle income,15.9
177,URY,2003,6.51517001,Uruguay,Latin America & Caribbean,235.98,High income,15.8
178,USA,2003,15.05869771,United States,North America,5995.08,High income,8.1
179,UZB,2003,5.16997656,Uzbekistan,Europe & Central Asia,20.65,Lower middle income,54.8
180,VCT,2003,3.90559599,St. Vincent and the Grenadines,Latin America & Caribbean,173.67,Upper middle income,22.3
181,VEN,2003,4.93347186,"Venezuela, RB",Latin America & Caribbean,159.37,Upper middle income,19.8
182,VNM,2003,4.83899044,Vietnam,East Asia & Pacific,25.0,Lower middle income,26.8
183,VUT,2003,4.01906287,Vanuatu,East Asia & Pacific,63.52,Lower middle income,28.2
184,WSM,2003,4.70708479,Samoa,East Asia & Pacific,95.59,Upper middle income,20.2
185,YEM,2003,5.00406928,"Yemen, Rep.",Middle East & North Africa,35.01,Lower middle income,81.3
186,ZAF,2003,8.25734824,South Africa,Sub-Saharan Africa,308.09,Upper middle income,73.2
187,ZMB,2003,8.17601711,Zambia,Sub-Saharan Africa,35.08,Lower middle income,130.2
188,ZWE,2003,6.51500899,Zimbabwe,Sub-Saharan Africa,29.21,Low income,98.2
189,AFG,2004,8.78670722,Afghanistan,South Asia,20.89,Low income,114.4
190,AGO,2004,4.70732007,Angola,Sub-Saharan Africa,53.46,Lower middle income,177.0
191,ALB,2004,6.37953469,Albania,Europe & Central Asia,153.26,Upper middle income,21.4
192,AND,2004,5.70388241,Andorra,Europe & Central Asia,2127.74,High income,4.0
193,ARE,2004,2.46216142,United Arab Emirates,Middle East & North Africa,915.42,High income,10.1
194,ARG,2004,6.84056093,Argentina,Latin America & Caribbean,323.75,Upper middle income,17.1
195,ARM,2004,5.50118169,Armenia,Europe & Central Asia,65.49,Lower middle income,24.6
196,ATG,2004,4.20698542,Antigua and Barbuda,Latin America & Caribbean,462.49,High income,12.6
197,AUS,2004,8.57432053,Australia,East Asia & Pacific,2933.23,High income,5.8
198,AUT,2004,10.55988254,Austria,Europe & Central Asia,3779.75,High income,5.1
199,AZE,2004,7.92454395,Azerbaijan,Europe & Central Asia,81.26,Upper middle income,55.5
200,BDI,2004,7.10205754,Burundi,Sub-Saharan Africa,8.48,Low income,130.1
201,BEL,2004,9.32102699,Belgium,Europe & Central Asia,3242.84,High income,5.2
202,BEN,2004,4.56185468,Benin,Sub-Saharan Africa,23.32,Low income,128.2
203,BFA,2004,6.45328338,Burkina Faso,Sub-Saharan Africa,23.96,Low income,161.8
204,BGD,2004,2.61548602,Bangladesh,South Asia,11.96,Lower middle income,70.3
205,BGR,2004,7.08595529,Bulgaria,Europe & Central Asia,239.47,Upper middle income,14.2
206,BHR,2004,3.36600777,Bahrain,Middle East & North Africa,547.82,High income,11.0
207,BHS,2004,6.02453452,"Bahamas, The",Latin America & Caribbean,1325.13,High income,16.3
208,BIH,2004,9.043833300000001,Bosnia and Herzegovina,Europe & Central Asia,240.04,Upper middle income,9.0
209,BLR,2004,6.58678934,Belarus,Europe & Central Asia,157.24,Upper middle income,9.3
210,BLZ,2004,4.39392269,Belize,Latin America & Caribbean,168.36,Upper middle income,21.4
211,BOL,2004,5.21561551,Bolivia,Latin America & Caribbean,51.77,Lower middle income,64.5
212,BRA,2004,7.06793519,Brazil,Latin America & Caribbean,254.29,Upper middle income,27.8
213,BRB,2004,5.71254394,Barbados,Latin America & Caribbean,734.16,High income,15.5
214,BRN,2004,3.00570028,Brunei Darussalam,East Asia & Pacific,665.22,High income,11.7
215,BTN,2004,4.40750213,Bhutan,South Asia,48.84,Lower middle income,61.5
216,BWA,2004,5.55872796,Botswana,Sub-Saharan Africa,271.23,Upper middle income,75.6
217,CAF,2004,4.10144818,Central African Republic,Sub-Saharan Africa,13.06,Low income,165.3
218,CAN,2004,9.55593893,Canada,North America,3062.67,High income,6.1
219,CHE,2004,10.96120293,Switzerland,Europe & Central Asia,5570.16,High income,5.2
220,CHL,2004,6.93393245,Chile,Latin America & Caribbean,430.31,High income,9.3
221,CHN,2004,4.72284375,China,East Asia & Pacific,70.62,Upper middle income,26.3
222,CIV,2004,5.23740268,Cote d'Ivoire,Sub-Saharan Africa,48.7,Lower middle income,131.1
223,CMR,2004,4.73054345,Cameroon,Sub-Saharan Africa,42.24,Lower middle income,141.4
224,COD,2004,3.33995801,"Congo, Dem. Rep.",Sub-Saharan Africa,6.33,Low income,142.1
225,COG,2004,2.55529589,"Congo, Rep.",Sub-Saharan Africa,34.81,Lower middle income,97.0
226,COL,2004,5.37077635,Colombia,Latin America & Caribbean,147.18,Upper middle income,22.3
227,COM,2004,3.95907616,Comoros,Sub-Saharan Africa,24.14,Low income,101.8
228,CPV,2004,5.06127652,Cabo Verde,Sub-Saharan Africa,99.75,Lower middle income,28.3
229,CRI,2004,7.79839004,Costa Rica,Latin America & Caribbean,346.18,Upper middle income,10.8
230,CUB,2004,6.13763913,Cuba,Latin America & Caribbean,208.58,Upper middle income,7.2
231,CYP,2004,6.41800628,Cyprus,Europe & Central Asia,1384.67,High income,5.2
232,CZE,2004,6.90346859,Czech Republic,Europe & Central Asia,771.78,High income,4.6
233,DEU,2004,10.37086787,Germany,Europe & Central Asia,3542.82,High income,4.9
234,DJI,2004,6.763710700000001,Djibouti,Middle East & North Africa,58.7,Lower middle income,91.0
235,DMA,2004,4.31835019,Dominica,Latin America & Caribbean,230.13,Upper middle income,15.6
236,DNK,2004,9.67486939,Denmark,Europe & Central Asia,4387.09,High income,5.0
237,DOM,2004,4.28073586,Dominican Republic,Latin America & Caribbean,101.54,Upper middle income,37.4
238,DZA,2004,3.54406326,Algeria,Middle East & North Africa,92.15,Upper middle income,35.1
239,ECU,2004,6.21729056,Ecuador,Latin America & Caribbean,168.4,Upper middle income,30.0
240,EGY,2004,5.21090557,"Egypt, Arab Rep.",Middle East & North Africa,56.07,Lower middle income,37.8
241,ERI,2004,3.14235447,Eritrea,Sub-Saharan Africa,8.57,Low income,72.7
242,ESP,2004,8.04569615,Spain,Europe & Central Asia,1975.38,High income,4.9
243,EST,2004,5.13198242,Estonia,Europe & Central Asia,452.33,High income,7.8
244,ETH,2004,4.23459837,Ethiopia,Sub-Saharan Africa,5.75,Low income,117.1
245,FIN,2004,8.20952406,Finland,Europe & Central Asia,2974.0,High income,3.9
246,FJI,2004,3.60774412,Fiji,East Asia & Pacific,120.25,Upper middle income,22.6
247,FRA,2004,10.53472683,France,Europe & Central Asia,3592.42,High income,4.7
248,FSM,2004,10.63613644,"Micronesia, Fed. Sts.",East Asia & Pacific,238.52,Lower middle income,47.9
249,GAB,2004,3.25513645,Gabon,Sub-Saharan Africa,187.36,Upper middle income,78.1
250,GBR,2004,7.97890281,United Kingdom,Europe & Central Asia,2963.51,High income,6.2
251,GEO,2004,8.53107694,Georgia,Europe & Central Asia,96.98,Lower middle income,26.6
252,GHA,2004,3.95738509,Ghana,Sub-Saharan Africa,26.7,Lower middle income,89.0
253,GIN,2004,3.13747392,Guinea,Sub-Saharan Africa,12.05,Low income,138.1
254,GMB,2004,4.351966200000001,"Gambia, The",Sub-Saharan Africa,18.06,Low income,100.5
255,GNB,2004,5.41321192,Guinea-Bissau,Sub-Saharan Africa,20.08,Low income,151.4
256,GNQ,2004,2.39764528,Equatorial Guinea,Sub-Saharan Africa,174.45,Upper middle income,135.0
257,GRC,2004,8.30236873,Greece,Europe & Central Asia,1809.35,High income,4.9
258,GRD,2004,5.23515143,Grenada,Latin America & Caribbean,305.53,Upper middle income,15.1
259,GTM,2004,6.77302634,Guatemala,Latin America & Caribbean,126.05,Lower middle income,44.4
260,GUY,2004,5.72841269,Guyana,Latin America & Caribbean,60.66,Upper middle income,42.4
261,HND,2004,7.88885252,Honduras,Latin America & Caribbean,103.63,Lower middle income,30.9
262,HRV,2004,6.55583737,Croatia,Europe & Central Asia,633.9,Upper middle income,7.0
263,HTI,2004,5.61151004,Haiti,Latin America & Caribbean,22.52,Low income,92.2
264,HUN,2004,8.08316836,Hungary,Europe & Central Asia,828.14,High income,7.9
265,IDN,2004,2.36774828,Indonesia,East Asia & Pacific,27.24,Lower middle income,49.5
266,IND,2004,4.22013959,India,South Asia,26.8,Lower middle income,77.7
267,IRL,2004,7.33848733,Ireland,Europe & Central Asia,3532.97,High income,5.6
268,IRN,2004,5.8876663,"Iran, Islamic Rep.",Middle East & North Africa,144.96,Upper middle income,27.1
269,IRQ,2004,5.61200838,Iraq,Middle East & North Africa,55.83,Upper middle income,41.8
270,ISL,2004,9.58713484,Iceland,Europe & Central Asia,4521.68,High income,3.3
271,ISR,2004,7.34611873,Israel,Middle East & North Africa,1445.93,High income,5.8
272,ITA,2004,8.49431614,Italy,Europe & Central Asia,2658.15,High income,4.6
273,JAM,2004,4.80457328,Jamaica,Latin America & Caribbean,183.47,Upper middle income,20.1
274,JOR,2004,9.05278809,Jordan,Middle East & North Africa,199.75,Lower middle income,25.0
275,JPN,2004,8.03487741,Japan,East Asia & Pacific,2927.43,High income,3.9
276,KAZ,2004,3.95180407,Kazakhstan,Europe & Central Asia,111.71,Upper middle income,34.2
277,KEN,2004,4.28974554,Kenya,Sub-Saharan Africa,20.05,Lower middle income,85.5
278,KGZ,2004,5.57289951,Kyrgyz Republic,Europe & Central Asia,24.38,Lower middle income,41.2
279,KHM,2004,6.43218295,Cambodia,East Asia & Pacific,26.18,Lower middle income,71.6
280,KIR,2004,10.39189376,Kiribati,East Asia & Pacific,117.32,Lower middle income,65.0
281,KNA,2004,4.72913659,St. Kitts and Nevis,Latin America & Caribbean,489.43,High income,17.1
282,KOR,2004,4.95938228,"Korea, Rep.",East Asia & Pacific,789.63,High income,5.9
283,KWT,2004,2.7557707000000002,Kuwait,Middle East & North Africa,756.08,High income,12.0
284,LAO,2004,4.54444753,Lao PDR,East Asia & Pacific,19.08,Lower middle income,100.1
285,LBN,2004,8.90980781,Lebanon,Middle East & North Africa,483.33,Upper middle income,15.3
286,LBR,2004,8.77485716,Liberia,Sub-Saharan Africa,12.87,Low income,135.5
287,LBY,2004,3.46061724,Libya,Middle East & North Africa,202.01,Upper middle income,24.4
288,LCA,2004,6.19944529,St. Lucia,Latin America & Caribbean,335.74,Upper middle income,17.1
289,LKA,2004,4.28272642,Sri Lanka,South Asia,45.67,Lower middle income,29.3
290,LSO,2004,6.96398382,Lesotho,Sub-Saharan Africa,44.95,Lower middle income,114.7
291,LTU,2004,5.67346919,Lithuania,Europe & Central Asia,378.28,High income,9.3
292,LUX,2004,8.20455465,Luxembourg,Europe & Central Asia,6145.32,High income,3.6
293,LVA,2004,6.51218398,Latvia,Europe & Central Asia,396.98,High income,11.1
294,MAR,2004,5.21554804,Morocco,Middle East & North Africa,98.7,Lower middle income,42.1
295,MCO,2004,4.02616923,Monaco,Europe & Central Asia,4901.69,High income,4.6
296,MDA,2004,8.48619596,Moldova,Europe & Central Asia,61.25,Lower middle income,20.9
297,MDG,2004,4.8875444,Madagascar,Sub-Saharan Africa,12.01,Low income,86.5
298,MDV,2004,5.88874714,Maldives,South Asia,236.05,Upper middle income,28.6
299,MEX,2004,6.11044039,Mexico,Latin America & Caribbean,446.92,Upper middle income,21.6
300,MHL,2004,17.8403202,Marshall Islands,East Asia & Pacific,448.8,Upper middle income,40.0
301,MKD,2004,8.64424462,"Macedonia, FYR",Europe & Central Asia,241.47,Upper middle income,14.1
302,MLI,2004,6.2798959000000005,Mali,Sub-Saharan Africa,25.08,Low income,181.6
303,MLT,2004,8.46267194,Malta,Middle East & North Africa,1280.23,High income,7.0
304,MMR,2004,1.96873038,Myanmar,East Asia & Pacific,4.57,Lower middle income,80.3
305,MNE,2004,8.44831694,Montenegro,Europe & Central Asia,285.18,Upper middle income,11.4
306,MNG,2004,5.99465876,Mongolia,East Asia & Pacific,47.83,Lower middle income,45.2
